1;1;Alergologia
2;1;Anestesiologia
3;1;Angiologia
4;1;Cardiologia
5;1;Endocrinologia
6;1;Estomatologia
7;1;Farmacologia Clinica
8;1;Gastroenterologia
9;1;Genetica
10;1;Geriatria
11;1;Hematologia
12;1;Hepatologia
13;1;Infectologia
14;1;Medicina aeroespacial
15;1;Medicina del deporte
16;1;Medicina familiar y comunitaria
17;1;Medicina fisica y rehabilitacion
18;1;Medicina forense
19;1;Medicina intensiva
20;1;Medicina interna
21;1;Medicina preventiva y salud publica
22;1;Medicina del trabajo
23;1;Nefrologia
24;1;Neumologia
25;1;Neurologia
26;1;Nutriologia
27;1;Oncologia medica
28;1;Oncologia radioterapica
29;1;Pediatria
30;1;Psiquiatria
31;1;Reumatologia
32;1;Toxicologia
33;2;Cirugia cardiaca
34;2;Cirugia general
35;2;Cirugia oral y maxilofacial
36;2;Cirugia ortopedica
37;2;Cirugia pediatrica
38;2;Cirugia plastica
39;2;Cirugia toracica
40;2;Cirugia vascular
41;2;Neurocirugia
42;3;Dermatologia
43;3;Ginecologia y obstetricia o tocologia
44;3;Medicina de emergencia
45;3;Oftalmologia
46;3;Otorrinolaringologia
47;3;Traumatologia
48;3;Urologia
49;4;Analisis clinico
50;4;Anatomia patologica
51;4;Bioquimica clinica
52;4;Farmacologia
53;4;Genetica medica
54;4;Inmunologia
55;4;Medicina nuclear
56;4;Microbiologia y parasitologia
57;4;Neurofisiologia clinica
58;4;Radiologia
59;4;Fisica Medica
60;2;Neurologia
61;4;Radioterapia
62;4;Fisica Medica
