1;Consulta Medica General;2.95;1
2;Consulta Medica Especialidades;3.44;1
3;Control de Enfermeria;1.68;1
4;Atencion de Psicologia;1.68;1
5;Control de Obstetricia;1.68;1
6;Control de Nutricion;1.68;1
7;Atencion en hospitalizacion general, por dia;8.04;2
8;Atencion en hospitalizacion en Cuidados Intermedios, por dia;14.30;2
9;Atencion en hospitalizacion en Cuidados Intensivos, por dia;30.92;2
10;Interconsulta Medica en Servicio de hospitalizacion;2.71;3
11;Interconsulta Medica en Servicio de emergencia;3.62;3
12;Atencion en Emergencia;5.88;4
13;Atencion en Sala de Shock trauma;19.04;4
14;Atencion en Sala de Observacion, dia;11.88;4
15;Analgesia epidural para parto normal;4.69;5
16;Anestesia en el servicio de radiologia para procedimientos invasivos;4.69;5
17;Anestesia endovenosa para realizar procedimientos fuera de Sala de Operaciones;4.69;5
18;Evaluacion pre-anestesica a paciente hospitalizado;2.71;5
19;Sedacion con o sin analgesia ;1.58;5
20;Cirugia del acne;53.10;6
21;Debridamiento de piel infectada o eczemas extensos ;36.79;6
22;Debridamiento de piel y tejido subcutaneo que incluye extraccion de cuerpo extrano asociado a fracturas expuestas o dislocaciones;42.86;6
23;Debridamiento de Piel, Tejido Subcutaneo, fascia muscular y musculo;52.13;6
24;Debridamiento de Piel, Tejido Subcutaneo, fascia muscular, musculo y hueso;60.52;6
25;Plasta de cicatrices simples ;21.08;6
26;Plasta de cicatrices complicadas;40.95;6
27;Cierre secundario de herida quirurgica o dehiscencia, amplia o complicada;36.30;6
28;Injerto de piel pediculado;46.54;6
29;Preparacion quirurgica o creacion de sitio receptor;32.57;6
30;Injerto de piel libre;34.28;6
31;Aplicacion de Aloinjerto de piel;30.73;6
32;Aplicacion de injerto heterologo de piel ;35.36;6
33;Dermabrasion ;36.79;6
34;Cervicoplastia;86.64;6
35;Ritidectomia;86.64;6
36;Excision de exceso de piel y tejido subcutaneo (incluyendo lipectomia), abdomen (abdominoplastia);86.64;6
37;Lipectomia por aspiracion;37.76;6
38;Excision de ulcera de decubito;36.79;6
39;Excision de ulcera de decubito, con ostectomia;52.13;6
40;Debridamiento o cura quirurgica de quemaduras bajo anestesia;32.57;6
41;Escarectomia;40.95;6
42;Quimiocirugia ;43.75;6
43;Mastectomia por ginecomastia;46.98;6
44;Mastectomia parcial;46.98;6
45;Mastectomia parcial con linfadenectomia axilar;56.60;6
46;Mastectomia completa, simple;73.85;6
47;Mastectomia radical, incluyendo musculos pectorales y ganglios linfaticos axilares;119.36;6
48;Mastectomia radical, incluyendo musculos pectorales, ganglios linfaticos axilares y mamarios internos;143.21;6
49;Excision de tumor de pared toracica incluyendo costillas;71.87;6
50;Excision de tumor de pared toracica que compromete costillas, con linfadenectomia mediastinica;89.12;6
51;Mastopexia;56.60;6
52;Mamoplastia reductora;125.60;6
53;Mamoplastia de incremento sin implante;108.35;6
54;Mamoplastia de incremento con implante de protesis;125.60;6
55;Retiro de implante mamario ;45.00;6
56;Insercion de protesis de mama posterior a la mastopexia, mastectomia, o cirugia reconstructora;54.62;6
57;Reconstruccion de pezon / areola;40.82;6
58;Correccion de pezon invertido;40.82;6
59;Reconstruccion de mama con expansores tisulares;85.35;6
60;Reconstruccion de mama con colgajo miocutaneo, con o sin implante de protesis;125.60;6
61;Reconstruccion de mama con colgajo libre;139.53;6
62;Reconstruccion de mama con otra tecnica;91.10;6
63;Capsulotomia periprostesis de mama;56.60;6
64;Capsulectomia periprostesis de mama;56.60;6
65;Revision de reconstruccion de mama;40.82;6
66;Exploracion de herida penetrante;37.85;6
67;Remocion de implante superficial;26.68;6
68;Remocion de implante profundo (p. ej. alambre intraoseo, clavija, tornillo, banda metalica, clavo, varilla o placa);45.68;6
69;Aplicacion de sistema de fijacion en un solo plano (clavijas o alambres);29.77;6
70;Aplicacion de sistema de fijacion en varios planos ;37.29;6
71;Remocion, bajo anestesia, de sistema de fijacion externa;35.36;6
72;Reimplante de brazo;217.09;6
73;Reimplante de antebrazo;216.01;6
74;Reimplante de mano;197.32;6
75;Reimplante dedo, excluyendo dedo pulgar ;85.20;6
76;Reimplante, dedo pulgar ;103.89;6
77;Injerto oseo, cualquier zona donante;61.39;6
78;Injerto cartilaginoso, fascia lata, tendon;61.39;6
79;Injertos de tejidos, otros (p. ej. paratendon, grasa, dermis);78.64;6
80;Tratamiento cerrado de luxacion de cadera, rodilla, tobillo;58.94;6
81;Tratamiento cerrado de fractura pelvis, femur, tibia y perone;58.94;6
82;Artroscopia quirurgica;59.53;6
83;Artrotomia de articulacion temporomandibular;79.60;6
84;Reseccion radical de tumor de tejido blando de cara o cuero cabelludo;80.01;6
85;Excision de huesos faciales;73.85;6
86;Excision de abultamiento mandibular o palatino maxilar;68.10;6
87;Excision de tumor de huesos faciales;73.85;6
88;Reseccion radical de tumor maligno de mandibula;86.24;6
89;Condilectomia, articulacion temporomandibular;73.85;6
90;Meniscectomia, parcial o completa, articulacion temporomandibular;79.60;6
91;Tratamiento cerrado de fractura de huesos nasales, tabique nasal;33.57;6
92;Tratamiento abierto de fractura de huesos nasales, tabique nasal;56.60;6
93;Tratamiento abierto de fractura nasoetomoidal;65.23;6
94;Tratamiento abierto de fractura deprimida de seno frontal;65.23;6
95;Reduccion incruenta de fractura maxilar, mandibular o luxacion de articulacion temporomandibular;47.98;6
96;Tratamiento abierto de fractura de complejo nasomaxilar (LeFort tipo II);80.01;6
97;Tratamiento abierto de fractura de malar y/o arco cigomatico;73.85;6
98;Tratamiento abierto de fractura por estallido de piso orbitario;80.01;6
99;Tratamiento cerrado de fractura de orbita;73.78;6
100;Tratamiento abierto de fractura maxilar (Lefort I);80.01;6
101;Tratamiento cerrado de disyunci�n craneofacial (LeFort III) ;95.50;6
102;Tratamiento abierto de disyunci�n craneofacial (LeFort III) ;103.45;6
103;Tratamiento cerrado de fractura del arco dentario de la mand�bula o del maxilar;65.23;6
104;Tratamiento abierto de fractura del arco dentario de la mand�bula o del maxilar;73.85;6
105;Tratamiento abierto de fractura mandibular;73.85;6
106;Tratamiento abierto de luxaci�n de articulaci�n temporomandibular;65.23;6
107;Tratamiento abierto de fractura de hueso hioides;56.60;6
108;Excisi�n de tumor de tejido blando de cuello o t�rax;55.03;6
109;Excisi�n de costilla, parcial;55.03;6
110;Costotransversectom�a ;55.03;6
111;Ostectom�a del estern�n, parcial;85.71;6
112;Resecci�n radical del estern�n;92.84;6
113;Divisi�n de escaleno anterior;63.41;6
114;Divisi�n del esternocleidomastoideo por tort�colis, operaci�n a cielo abierto;63.41;6
115;Correcci�n reconstructiva de pecho excavado (en embudo) o de pecho hundido (en quilla);91.10;6
116;Tratamiento abierto de fractura de costilla ;55.03;6
117;Tratamiento abierto de fractura del estern�n ;85.71;6
118;Escisi�n de tumor de tejido blando de espalda o flanco;53.10;6
119;Resecci�n radical de tumor de tejido blando de espalda o flanco;80.82;6
120;Excisi�n parcial de elemento vertebral posterior (ej. ap�fisis espinosa, l�mina o faceta);85.71;6
121;Osteotom�a de columna vertebral, abordaje posterior o posterolateral;71.80;6
122;Osteotom�a de columna con discectom�a, abordaje anterior;107.11;6
123;Tratamiento cerrado de fracturas y/o luxaciones de cuerpos vertebrales;76.84;6
124;Tratamiento abierto y/o reducci�n de fracturas o luxaciones vertebrales;128.52;6
125;Manipulaci�n de columna vertebral con necesidad de anestesia;63.41;6
126;Artrodesis vertebral, t�cnica anterior ;132.19;6
127;Artrodesis vertebral posterior;117.51;6
128;Exploraci�n de fusi�n espinal;18.12;6
129;Instrumentaci�n espinal posterior no segmentaria ;18.12;6
130;Instrumentaci�n espinal segmentaria posterior ;18.12;6
