1;Aerosol
2;Aerosol para Inhalacion
3;Aerosol Suspension
4;Anillo
5;Anillo Vaginal
6;Atomizador Nasal
7;Barra
8;Capsula
9;Capsula Blanda
10;Capsula Blanda Vaginal
11;Capsula con Granulos
12;Capsula con Microgranulos
13;Capsula con Microgranulos de Liberacion Prolongada
14;Capsula con Microgranulos de Liberacion Retenida
15;Capsula de Liberacion Prolongada
16;Capsula de Liberacion Retardada
17;Capsula Enterica
18;Capsula Gastrorresistente
19;Capsula para Inhalador
20;Capsula Recubierta
21;Capsula Vaginal
22;Caramelo
23;Cera dental
24;Champu
25;Chicle
26;Colirio
27;Colutorio (Gargarismos)
28;Comprimido
29;Comprimido con Cubierta Enterica
30;Comprimido de Disolucion Bucal
31;Comprimido de Liberacion Sostenida
32;Comprimido Dispersable
33;Comprimido Efervescente
34;Comprimido Laqueado
35;Comprimido Masticable
36;Comprimido Ranurado
37;Comprimido Recubierto
38;Comprimido recubierto de liberacion prolongada
39;Comprimido Sublingual
40;Comprimido Vaginal
41;Concentrado para Inyeccion o Infusion
42;Crema
43;Crema Dental
44;Crema Topica
45;Crema Vaginal
46;Ducha Vaginal
47;Elixir
48;Emulsion
49;Emulsion Liquida
50;Emulsion para Inyeccion
51;Enema
52;Gel
53;Gel Bucal
54;Gel Nasal
55;Gel Oftalmico
56;Gel Topico
57;Gotas
58;Gotas Bebibles
59;Gotas Nasal
60;Gotas Oftalmicas
61;Gotas Oral
62;Gotas Oticas
63;Gragea
64;Gragea Retard
65;Granulado Efervescente
66;Granulos
67;Granulos para Solucion
68;Granulos para Suspension
69;Granulos para Suspension Oral
70;Implante (Pellet)
71;Infusion
72;Infusion Liofilizado
73;Inhalador
74;Inyectable
75;Jabon
76;Jalea
77;Jarabe
78;Laca
79;Locion
80;Locion Capilar
81;Locion Topica
82;Ovulo
83;Ovulo Vaginal
84;Parche
85;Pasta
86;Pasta Dental
87;Pastilla
88;Perla
89;Pildora
90;Polvo
91;Polvo Efervescente
92;Polvo Liofilizado para Solucion Inyectable
93;Polvo Liofilizado para Suspension Inyectable
94;Polvo Oral
95;Polvo Para Dispersion Para Perfusion
96;Polvo para Inhalacion
97;Polvo para Inyeccion
98;Polvo para Inyeccion IV
99;Polvo para Solucion Inyectable
100;Polvo para Solucion Oftalmica
101;Polvo para Solucion Oral
102;Polvo para Suspension
103;Polvo para Suspension Inyectable
104;Polvo para Suspension Oral
105;Polvo Para Suspension Para Perfusion
106;Polvo Topico
107;Pomada
108;Pomada Oftalmica
109;Pomada topica
110;Sistema Terapeutico
111;Solucion
112;Solucion Bebible
113;Solucion Bucal
114;Solucion Capilar
115;Solucion Esteril
116;Solucion Intraocular
117;Solucion Inyectable
118;Solucion Inyectable IM
119;Solucion Inyectable IV
120;Solucion Inyectable para Infusion IV
121;Solucion Liofilizada
122;Solucion Nasal
123;Solucion Oftalmica
124;Solucion Oral
125;Solucion Otica
126;Solucion para Hemodialisis
127;Solucion para Inhalador
128;Solucion para Inyeccion
129;Solucion para Irrigacion
130;Solucion para Nebulizar
131;Solucion para Perfusion
132;Solucion para Uñas
133;Solucion Rectal
134;Solucion Spray
135;Solucion Topica
136;Spray
137;Spray Nasal
138;Spray Topico
139;Supositorio
140;Supositorio Vaginal
141;Suspension
142;Suspension Gotas
143;Suspension Liquida
144;Suspension Nasal
145;Suspension Oftalmica
146;Suspension Oral
147;Suspension para Inhalacion
148;Suspension para Inyeccion
149;Suspension para Nebulizar
150;Suspension Rectal
151;Suspension Spray nasal
152;Tableta
153;Tableta con Cubierta Enterica
154;Tableta de Liberacion Prolongada
155;Tableta de Liberacion Retardada
156;Tableta Dispersable
157;Tableta Efervescente
158;Tableta Enterica de Liberacion Controlada
159;Tableta Laqueada
160;Tableta Masticable
161;Tableta Ranurada
162;Tableta Recubierta
163;Tableta Recubierta Enterica
164;Tableta Retard
165;Tableta Revestida
166;Tableta Sublingual
167;Tableta Vaginal
168;Tintura
169;Toques
170;Trocisco
171;Unguento
172;Unguento Oftalmico
173;Unguento Topico
174;Unguento Vaginal
